纯挚,纯真
气量气度,心胸
同病相怜,惺惺相惜
弄柳拈花,拈花惹草
目下十行,一目十行
少年事重,少年老成
谬误百出,丝毫不爽
全无分别,一丘之貉
犬牙相制,犬牙交错
所在多有,不一而足
妙语如珠,妙语连珠
明天将来,来日
难熬难过,难受
随随便便,马马虎虎
目即成诵,过目成诵
难以决断,委决不下
心慌意乱,方寸已乱
望而却步,望而生畏
升堂入室,造诣高深
亲信背叛,舟中敌国
授人以柄,倒持泰阿
如何了局,伊于胡底
书不宣意,言不尽意
一往无前,勇往直前
随从跟随,跟从
逍遥法外,逃出法网
心如刀割,痛澈心脾
天下太平,天下升平
天地之别,天壤之别
南征北战,出生入死
清风明月,月白风清
束身待罪,引颈就戮
文过饰非,掩罪藏恶
望尘莫及,瞠乎其后
山林隐士,野鹤闲云
所嫁非人,遇人不淑
同宗同气,同出一脉
受人以柄,倒持泰阿
忍尤含诟,含垢忍辱
蜃楼海市,空中楼阁
日夜勉,夙夜匪懈
四肢举动,手脚
目挑心招,眉目传情
添枝接叶,添油加醋
穷力尽心,仁至义尽
室迩人遐,人去楼空
片言立决,一语而解
尸祝代庖,越权代理
生气希望,生机
矢口不移,一口咬定
体系体例,体制
消声匿迹,偃旗息鼓
暮景暮年,晚景
善自为谋,自作打算
市道市情,市面
色授魂与,心醉情移
神工鬼斧,天造地设
死生之交,啮臂之交
滔滔而至,源源而来
双管齐下,左右开弓
前因后果,来龙去脉
伤弓之鸟,惊弓之鸟
三令五申,再三告诫
沁人肺腑,沁人心脾
曲曲折折,弯弯曲曲
贴心贴腹,推心置腹
泼油救火,火上加油
攀辕卧辙,遮道挽留
食玉炊桂,米珠薪贵
无意偶尔,偶然
破口大骂,扬声恶骂
腾云跨风,腾云驾雾
歪歪扭扭,歪七扭八
土着土偶,土人
投鼠忌器,有所顾忌
渗入渗出,渗透
息事宁人,相安无事
舐犊情深,老牛舐犊
清算计帐,算帐
嬉皮笑脸,喜笑颜开
瓦釜雷鸣,小人得志
喜逐颜开,笑逐颜开
痛苦悲伤,疼痛
匹夫之勇,血气之勇
心灰意冷,意气消沉
收视反听,专心致志
倾尽国库,悉索敝赋
心花怒放,兴高采烈
世道沦亡,人心不古
罔顾情面,打狗不看主人面
乌烟瘴气,一塌糊涂
沐雨栉风,吸风饮露
药石之言,针砭之语
披麻带孝,拖麻拽布
一窍不通,一无所知
世易时移,事过境迁
配药师,药剂师
不成材,不长进
独立国,自主国
布掸子,拂尘
雄赳赳,气昂昂
女强人,铁娘子
孔方兄,阿堵物
高利贷,印子钱
不雅观,不雅
救火员,消防员
飘飘然,由由然
日曜日,星期日
千里镜,望远镜
下战书,下午
囊中物,瓮中鳖
怪样子,四不像
论说文,议论文
检阅场,演武厅
挥挥手,招招手
立崖岸,傲岸
伐柯人,媒人
发酒疯,撒酒疯
阶下囚,囚徒
卡脖子,洽商
练习生,养成工
悄悄的,偷偷的
老花子,叫花子
导火线,引火线
女儿态,脂粉气
不忘本,有良心
藏书楼,图书馆
撮合山,月老祠
陈列所,展览场
空口说,空谈
稻粱谋,衣食计
农家子,田舍郎
釜中鱼,俎上肉
不成才,不长进
生力军,新力量
不要紧,没关系
体育场,运动场
黑沉沉,阴森森
第一版,初版
博览会,展览会
钱树子,摇钱树
大年节,除夕
不够格,未入流
慈善家,善士
坦克车,装甲车
湿淋淋,湿漉漉
打盹儿,瞌睡
木曜日,星期四
爬虫类,爬行动物
大礼服,燕尾服
初级,低级
泉台,墓穴
刺目,刺眼
公家,公众
骄恣,骄纵
改行,转业
圣旨,诏书
苍头,厮役
恬澹,淡泊
容隐,包庇
虽然,固然
十日,旬日
介入,参与
池沼,沼泽
哈腰,弯腰
春秋,年龄
首级,首领
知足,满足
村夫,乡人
赏格,悬赏
公开,公然
当真,认真
服帖,帖服
倒置,颠倒
等于,即是
清水,净水
底本,蓝本
春风,东风
地道,隧道
典礼,仪式
怯夫,懦夫
赶上,遇上
穿戴,穿着
黑色,玄色
下落,着落
热潮,高潮
盛装,艳服
征聘,征请
生果,水果
进口,入口
岁入,岁收
至宝,珍宝
思惟,思想
仙人,神仙
疾走,狂奔
封锁,封闭
向阳,朝阳
什物,实物
合法,正当
高见,卓识
彻骨,透骨
公愤,众怒
关闭,封闭
奼女,少女
吉利,吉祥
假寓,定居
超额,逾额
病院,医院
编缉,主笔
数量,数目
近世,晚世
生育,生养
私家,私人
饕戾,凶婪
不多,未几
迁就,将就
天色,天气
不外,不过
衰老,朽迈
惨怆,惨恻
雠正,厘正
蹇滞,困阻
接风,拂尘
功臣,元勋
戎狄,蛮夷
交恶,反目
识相,知趣
世人,众人
释放,开释
打盹,瞌睡
垂怜,怜爱
吹打,奏乐
守信,取信
唐突,冒昧
长子,宗子
白叟,老人
泊车,停车
尝尝,试试
辱没,屈辱
泊岸,靠岸
枢路,要津
绳子,绳索
如斯,如此
施医,赠医
报命,应命
统一,同一
揣想,悬想
哔叽,羽缎
初春,早春
吹奏,演奏
束装,整装
傍观,旁观
团聚,团圆
手表,腕表
抽烟,吸烟
不偶,数奇
禀承,遵奉
倡寮,妓院
手刺,名片
暴风,狂风
书厨,书柜
日夜,昼夜
才人,秀士
安泰,安乐
迟早,早晚
天佑,天助
凸起,突出
赐赉,赐予
床笫,枕席
侨民,外侨
亲属,支属
庶民,百姓
嘶哑,沙哑
松散,疏松
清秀,秀气
掏出,取出
茕居,独居
依从,允从
别传,外传
随俗,顺俗
过时,过期
含蓄,蕴藉
陷溺,沉迷
绅士,名流
寒微,微贱
长夜,永夜
称疾,托病
畅谈,泛论
施主,檀越
鼎盛,壮盛
发烧,发热
长日,永日
厄运,恶运
青蛙,田鸡
笔迹,字迹
牲畜,牲口
天然,自然
体裁,文体
比拟,相比
替身,替人
饱食,餍饫
恶梦,噩梦
恰谈,洽商
仕进,做官
等闲,轻易
发还,发回
反常,变态
轻蔑,藐视
熟年,丰年
半途,中途
筹措,张罗
显贵,权贵
书橱,书柜
庇荫,荫庇
防备,防御
眺望,远望
愣住,停住
审视,审阅
惊疑,惊奇
叹恨,怨嗟
耀眼,刺眼
如果,假如
告别,离别
胜负,胜败
灾害,灾难
冲毁,冲垮
淹没,沉没
悄悄,静静
形状,外形
打扰,打搅
灌溉,浇灌
投契,投机
长进,上进
替代,替换
田单,田契
常人,凡人
丽人,美人
同志,同道
年迈,年老
乱世,浊世
成全,玉成
洁白,雪白
不决,未定
特意,特地
完稿,脱稿
响马,盗贼
起点,出发点
同僚,同寅
小童,幼童
鄙陋,猥琐
长官,主座
允许,答应
祭祀,祭奠
无端,无故
劫难,灾难
崎岖,坎坷
焦急,焦虑
看守,看管
严峻,严重
战役,战争
温暖,暖和
安谧,静谧
掠过,擦过
舒展,伸展
偶尔,偶然
环游,周游
挚友,好友
赏给,赐给
继承,继续
疲倦,倦怠
家景,家境
徐徐,渐渐
犹如,如同
掌握,把握
糟蹋,糟践
常常,经常
笑容,笑脸
周围,四周
立刻,立即
用心,专心
新颖,新奇
宽阔,宽广
中央,中心
撤职,革职
摇晃,摇摆
容易,轻易
训练,练习
守法,遵法
高兴,兴奋
打碎,打坏
便服,燕服
潮湿,湿润
谙熟,谙习
按摩,推拿
案牍,文案
暗斗,冷战
贵人,朱紫
后辈,子弟
梗阻,阻塞
勉强,委曲
明示,昭示
募集,召募
特效,殊效
暗射,影射
土风,乡俗
详细,具体
农夫,农民
听见,闻声
安葬,埋葬
寒冷,严寒
突然,忽然
赶快,赶紧
来回,往返
难听,刺耳
瞻望,展望
时事,时势
得意,自得
苟安,偷安
膏腴,腴膏
合力,协力
和婉,柔顺
寒气,冷气
合理,公道
厚酬,重酬
妄言,妄语
谜底,答案
傲睨,渺视
弄璋,梦熊
推寻,推求
跳舞,舞蹈
田猎,野猎
挽救,拯救
幽静,清幽
纯熟,熟练
抚摸,抚摩
相宜,适宜
贵重,珍贵
仍旧,仍然
轻微,稍微
寄居,借居
恬静,舒适
不凡,非凡
相称,相当
娘家,外家
外埠,外地
旁门,歪路
偏袒,左袒
把柄,痛处
暗里,私下
捕获,捕捉
判断,判定
管理,治理
小扣,轻敲
按期,定期
满意,满足
评比,评选
证明,证实
整齐,整洁
遇到,碰到
海疆,海域
新居,新房
好像,似乎
赛过,胜过
每天,天天
通风,透风
绝技,特技
预测,猜测
淘气,调皮
奇丽,秀丽
洒脱,潇洒
附近,四周
直立,竖立
笨重,粗笨
预报,预告
午睡,昼寝
惊叹,赞叹
接踵,相继
授室,娶妻
皆宜,咸宜
幽谷,深谷
弘远,远大
擅权,专权
仰给,仰食
荆布,糟糠
腊月,尾月
略坐,小坐
梨园,戏班
腊肠,香肠
伎痒,跃跃欲试
抓住,捉住
好比,比如
厚味,美味
耸然,屹然
回音,覆信
信奉,信仰
酒保,侍者
娇纵,骄纵
或曰,或谓
划定,规定
纪行,游记
王孙,天孙
回禄,祝融
挽劝,劝说
叫化,求乞
凶事,丧事
疏浚,疏通
烈焰,炎火
破烂,褴褛
商业,贸易
失常,变态
狼藉,散乱
投亲,探亲
滚动,转动
收尾,扫尾
失仪,失礼
今日,本日
良久,很久
蜜意,深情
出产,生产
侍从,随从
内衣,亵服
南风,熏风
招安,招抚
澈底,透澈
正人,君子
塌台,垮台
离席,退席
凉气,冷气
髫龄,龆年
纵贯,直通
珍异,珍奇
排遣,排解
抒情,抒怀
成本,本钱
送达,投递
乞降,求和
外援,外助
拜访,造访
本分,天职
布衣,平民
部门,部分
凹地,洼地
白话,口语
挨饿,受饿
暮景,晚景
删省,删节
浓艳,冶艳
叹惜,叹惋
顺路,顺道
失贼,失窃
痴钝,迟钝
沉闷,烦闷
联盟,同盟
搪突,冒犯
海内,国内
充满,布满
赠送,赠予
惊讶,惊奇
保守,守旧
天黑,入夜
失踪,失落
失机,失时
无邪,天真
不合,分歧
晨风,晓风
安分,循分
难看,丢脸
灵通,通达
废话,空话
妊妇,孕妇
出事,失事
法度,法式
存案,备案
当即,立即
阻梗,阻当
服毒,仰药
翻腾,翻滚
冬风,北风
毒杀,鸩杀
独身,单身
顿挫,抑扬
浊流,污流
戍卫,卫护
联袂,携手
傍门,歪路
收成,收获
进款,入款
一一,逐一
利落,爽利
次日,越日
独有,独占
断魂,销魂
处死,正法
缔姻,联婚
深挚,深厚
粗拙,粗糙
地蜡,白蜡
平等,同等
篱笆,竹篱
讲演,报告
优势,上风
恰是,正是
九月,玄月
愚拙,呆笨
漏掉,遗漏
距离,间隔
寂聊,枯寂
矜持,自持
路过,途经
遴派,选派
流放,放逐
军功,战功
气度,心胸
立名,扬名
激辩,舌战
因为,由于
浸礼,洗礼
溘然,忽然
乐岁,丰年
郊游,远足
良俦,良伴
老拙,老朽
江山,山河
领港,引港
货泉,货币
轿子,肩舆
起码,最少
旧道,古道
嫖妓,冶游
老是,总是
修好,修睦
惧罪,畏罪
宽解,宽心
克扣,剥削
尽忠,效忠
浪人,游勇
率性,任性
立场,态度
披发,散发
奸骗,奸淫
脸红,酡颜
据有,占有
连络,连系
经由,经过
计帐,算帐
极目,纵目
几回,几次
进级,升级
救兵,援军
再版,重版
精晓,精通
门徒,徒弟
剿袭,袭取
黑货,私货
预赛,初赛
远离,阔别
酒徒,醉翁
壅塞,阻塞
剧场,戏院
中听,入耳
机能,性能
孝顺,孝敬
家传,祖传
隐忍,哑忍
气候,天气
舅家,外氏
划子,小船
火药,炸药
叫声,啼声
最终,终极
出顶,召盘
年成,年景
抽剥,剥削
机杼,心裁
难题,困难
奖惩,赏罚
中兴,复兴
紧紧,牢牢
做作,造作
知名,着名
镇压,弹压
军备,武备
住持,方丈
其实,实在
欢忻,忻忭
空白,空缺
空论,空话
检阅,校阅阅兵
荏弱,柔弱
器具,用具
钱庄,银号
谨防,严防
孑遗,余存
设法,想法
计策,计谋
检修,检验
浪荡,游荡
蒲月,五月
假称,托辞
湔雪,洗雪
旧病,宿病
假货,赝品
话旧,叙旧
嫁祸,移祸
目眩,眼花
克意,锐意
话筒,发话器
豁免,宽免
季子,幼子
肋膜,胸膜
蜡烛,烛炬
污吏,贪吏
盘考,盘问
冷视,漠视
纳贡,进贡
每日,逐日
类别,种别
亲自,亲身
亢旱,久旱
良多,很多
下班,放工
浓烈,浓郁
媒婆,牙婆
礼拜,星期
老生,须生
食物,食品
弄法,玩法
落款,题名
盘剥,剥削
密意,深情
啰唆,噜苏
碰劲,碰巧
迫临,逼近
批颊,掌掴
努目,瞪眼
念头,动机
枪弹,子弹
母丧,丁忧
美丑,妍媸
凶兆,恶兆
麻布,夏布
逆命,抗命
雪耻,雪恨
奇观,异景
平话,说书
泥像,塑像
兰梦,梦熊
良知,知己
面前,眼前
昆裔,后代
款接,延接
轮回,循环
康年,丰年
炼坊,冶坊
领巾,围巾
卵形,椭圆形
綦严,严紧
骗财,诈财
预付,预支
介绍,先容
飘动,飞舞
酒杯,羽觞
披露,表露
旷地,空地
老景,晚景
羞怯,羞涩
酷刑,严刑
冷巷,小巷
逻骑,侦骑
军师,智囊
另娶,再娶
涓滴,丝毫
慨诺,允承
排闼,推门
雀斑,斑点
祸首,罪魁
兼并,吞并
元凶,首恶
介弟,令弟
犒赏,赏赐
盲眼,瞎眼
旧事,往事
枯坐,闲坐
进谒,投刺
抉剔,挑剔
借鉴,鉴戒
卵翼,庇护
旷课,缺课
立异,创新
胪陈,详述
滥调,谰言
纳贿,受贿
肉痛,心痛
切身,亲身
旭日,朝阳
平均,均匀
刷洗,洗擦
前贤,先哲
就绪,停当
书画,字画
伶丁,孤苦
面试,口试
礼仪,礼节
涕零,涕泣
烈士,义士
书箧,书箱
许多,很多
毛笔,羊毫
肉瘤,赘瘤
啰嗦,烦琐
漫游,周游
可托,可信
目炫,眼花
老儒,夙儒
津润,滋润
了债,清偿
严惩,重办
力量,气力
临摹,摹仿
谦谢,逊谢
斗室,小房
前驱,先驱
打针,注射
典质,抵押
掉包,偷换
少憩,暂休
吊挂,悬挂
恶相,凶相
道别,作别
碉堡,堡垒
定亲,订婚
犯错,出错
房钱,租金
废料,废物
风筝,鹞子
道士,羽士
的当,确当
辞意,文意
房子,屋子
仿单,说明书
顶用,中用
仍是,还是
儿歌,童谣
法宝,宝贝
下昼,下午
风流,风骚
恶棍,无赖
法场,刑场
菲敬,菲仪
词目,似义词
蠹虫,蛀虫
端的,真个
刚好,恰好
地志,舆志
鼎力,大力
毒酒,鸩酒
堵截,切断
锻造,铸造
细目,详目
发笑,失笑
嘉会,盛会
栖身,居住
喝酒,饮酒
贵爵,王侯
佛门,空门
服饰,衣饰
地图,舆图
鼎峙,鼎立
受惠,沾恩
房契,宅券
膏壤,沃土
放火,纵火
洞居,穴居
飞跃,奔腾
闲逸,散逸
请帖,请柬
丁壮,壮年
山洞,岩穴
测量,丈量
寸,微暇
惩恶,劝善
处女,童贞
大公,至公
大篆,籀文
岂非,难道
惩治,惩办
私交,私情
答谢,报答
长生,永生
饶富,富足
大军,雄师
持禄,尸位素餐
成仙,羽化
步队,队伍
搀扶,扶持
丛集,猬集
渗入,渗透
独一,唯一
地舆,地理
斗丽,争艳
下世,来世
出缺,有缺
费用,用度
丹青,图画
到手,得手
打动,感动
发窘,发慌
出险,脱险
垂垂,渐渐
催讨,追讨
大骂,痛骂
长短,是非
呈文,报告
晨安,早安
顶嘴,顶撞
二月,仲春
人道,人性
带同,携同
死谏,尸谏
订亲,订婚
山人,隐士
多灾,多难
皇帝,天子
哗笑,喧笑
寄意,寓意
评话,说书
拙笔,秃笔
光棍,王老五骗子
豪气,英气
供献,进献
规语,箴言
后世,后代
生成,天生
膏火,学费
灌水,注水
请客,宴客
海角,天涯
舌人,译员
闪开,让开
毫光,光芒
红霞,彤霞
虎睨,鹰视
花匠,园丁
回身,转身
嫁奁,嫁妆
混蛋,忘八
忤逆,违逆
咭片,名片
期近,在即
耐劳,刻苦
骄易,轻慢
龋齿,蛀牙
姑苏,苏州
何堪,那堪
莫非,难道
扭捏,摇摆
技击,武术
街市,市井
呵护,庇护
好笑,可笑
前提,条件
眸子,眼珠
辉映,照映
甲由,蟑螂
烧饭,煮饭
豪举,壮举
怀怨,抱恨
华山,西岳
甲鱼,团鱼
爬泳,自由式泳法
缺漏,罅漏
房主,房东
横目,怒目
洽谈,洽商
暮秋,深秋
耳目,线人
片子,电影
肥饶,肥沃
茂发,向荣
贮备,储备
轻风,微风
黑点,斑点
酣畅,畅快
摄生,养生
高寿,遐龄
轨制,制度
冗赋,杂税
甘旨,美味
工业,产业
坟墓,宅兆
犯禁,违禁
专横,跋扈
豆芽,芽菜
署理,代理
神姿,丰采
讹传,谣传
功课,作业
割断,切断
跟着,随着
够数,足数
鹄候,伫候
逛逛,走走
卓见,卓识
恶疾,顽疾
绳尺,准绳
动弹,转动
互市,通商
给以,赐与
喜剧,笑剧
更甚,愈甚
顾恤,怜惜
光鲜,鲜明
涵养,修养
谋事,找事
模样,样子容貌
惹人,引人
活捉,生擒
寄迹,托足
讳饰,遮掩
贵姓,尊姓
毫不,绝不
狐臭,腋臭
回心,转意
轻柔,柔柔
贵体,玉体
人员,职员
鹄立,伫立
何为,作甚
泥土,土壤
焚杀,屠烧
转晴,放晴
干犯,冒犯
扶病,抱病
改嫁,再醮
归,回
铺,展
去,往
望,看
绝,尽
藏,躲
遥,远
入,进
鸣,叫
暖,热
舟,船
寒,冷
瞅,看
趋炎附势,阿谀奉承
悲,哀
乞求,哀求
忧伤,哀伤
长吁短叹,唉声叹气
打,挨
低,矮
恨,爱
手不释卷,爱不释手
一毛不拔,爱财如命
敬爱,爱戴
兢兢业业,爱岗敬业
爱护国家维护主权,爱国
怜爱,爱怜
心有余而力不足,爱莫能助
顾惜,爱惜
泾渭分明,爱憎分明
明朗,暧昧
危,安
循规蹈矩,安分守己
丰衣足食,安居乐业
平安,安全
平安,安然
平安无事,安然无恙
安如泰山,安如磐石
危如累卵,安如泰山
闲适,安逸
拔营,安营
装置,安装
墨守成规,按部就班
明,暗
明处,暗处
声东击西,暗渡陈仓
老马识途,暗中摸索
暗淡,黯淡
相形见绌,黯然失色
昂首挺立,昂然挺立
俯首,昂首
高视阔步,昂首阔步
凸,凹
酣战,鏖战
悔恨,懊悔
沮丧,懊丧
面面俱到,八面玲珑
恨不得,巴不得
插,拔
插入,拔出
压低,拔高
安营,拔营
翻山越岭,跋山涉水
凭据,把柄
免除,罢黜
复工,罢工
复课,罢课
而已,罢了
任用,罢免
王道,霸道
黑,白
夜班,白班
完美无缺,白璧无瑕
青丝,白发
文言,白话
红色,白色
自力更生,白手起家
白昼,白天
每况愈下,百尺竿头;更进一步
味同嚼蜡,百读不厌
悲喜交集,百感交集
万马齐喑,百家争鸣
完美无缺,百孔千疮
凤毛麟角,百里挑一
千载难逢,百年不遇
权宜之计,百年大计
大惑不解,百思不解
唯命是从,百依百顺
战无不胜,百战百胜
坚韧不拔,百折不挠
晃,摆
玩弄,摆弄
成,败
守财奴,败家子
没落,败落
溃退,败退
胜仗,败仗
托付,拜托
出师,班师
光怪陆离,斑驳陆离
幅员,版图
操持,办理
势均力敌,半斤八两
前功尽弃,半途而废
无可置疑,半信半疑
中午,半夜
陪,伴
国,邦
助,帮
协助,帮助
小巧玲珑,膀大腰圆
澎湃,磅礴
庇护,包庇
应有尽有,包罗万象
容纳,包容
解围,包围
贬,褒
贬责,褒奖
贬义,褒义
废物,宝物
鼓,饱
一帆风顺,饱经风霜
废寝忘食,饱食终日
保管,保存
失密,保密
激进,保守
安全,保险
保证,保障
报恩,报仇
以德报怨,报仇雪恨
报仇,报恩
报仇,报复
演讲,报告
报喜,报忧
志向,抱负
死不瞑目,抱恨终天
逃之夭夭,抱头鼠窜
暴涨,暴跌
爆发,暴发
表露,暴露
原形毕露,暴露无遗
大发雷霆,暴跳如雷
暴跌,暴涨
迸发,爆发
亢,卑
德高望重,卑鄙无耻
不屈不挠,卑躬屈膝
草木皆兵,杯弓蛇影
无济于事,杯水车薪
哀,悲
哀叹,悲叹
欣喜若狂,悲痛欲绝
百感交集,悲喜交集
南,北
南方,北方
南国,北国
负,背
南辕北辙,背道而驰
背后,背地
衣锦还乡,背井离乡
面对面,背靠背
背叛,背离
反面,背面
破釜沉舟,背水一战
言而无信,背信弃义
显眼,背眼
走运,背运
原告,被告
自愿,被迫
原,本
辅币,本币
外地,本地
外国,本国
身手,本领
舍本逐末,本末倒置
利息,本钱
自己,本人
自身,本身
外乡,本土
外乡,本乡
脱胎换骨,本性难移
转义,本义
根源,本源
蠢,笨
伶牙俐齿,笨口拙舌
蠢笨,笨拙
解体,崩溃
迫近,逼近
铤而走险,逼上梁山
屈指可数,比比皆是
比如,比方
己,彼
此岸,彼岸
相互,彼此
瘪,秕
口供,笔供
口试,笔试
舌战,笔战
蜿蜒,笔直
挺拔伟岸,笔直粗壮
自由王国,必然王国
偶然性,必然性
选修,必修
殊途同归,必由之路
一生,毕生
关,闭
休会,闭会
落幕,闭幕
开庭,闭庭
造谣,辟谣
利,弊
严阵以待,壁垒森严
躲,避
防止,避免
拈轻怕重,避重就轻
内地,边疆
遥远,边远
力所不及,鞭长莫及
褒,贬
贬低,贬斥
抬高,贬低
褒义,贬义
褒扬,贬抑
升值,贬值
即,便
便当,便利
无以复加,变本加厉
变卦,变更
变化无常,变化多端
一成不变,变化无常
一成不变,变化无穷
千变万化,变幻无穷
遍及,遍布
普及,遍及
体无完肤,遍体鳞伤
区分,辨别
本,标
别具一格,标新立异
规范,标准
里,表
表达,表白
心口如一,表里如一
外表,表面
标明,表明
扮演,表演
褒扬,表扬
惩处,表彰
依样画葫芦,别出心裁
别出心裁,别具匠心
别具一格,别开生面
他人,别人
标新立异,别树一帜
心怀叵测,别有用心
糟糕,蹩脚
鼓,瘪
主,宾
门庭若市,宾至如归
文质彬彬,彬彬有礼
接近,濒临
炭,冰
卒,兵
太平盛世,兵荒马乱
十万火急,兵临城下
残兵败将,兵强马壮
战士,兵士
徇私,秉公
不相上下,并驾齐驱
不可救药,病入膏肓
涉及,波及
汹涌澎湃,波澜壮阔
惊涛骇浪,波涛汹涌
广播,播送
收获,播种
不相上下,伯仲之间
怒发冲冠,勃然大怒
专,博
胸无点墨,博大精深
博学多才,博览群书
博古通今,博学多才
肥,薄
厚礼,薄礼
痴情,薄情
挖,补
拆台,补台
缝补,补缀
逮,捕
实事求是,捕风捉影
捕捉,捕获
没有,不
不骄不躁,不卑不亢
不用,不必
虚怀若谷,不耻下可
任劳任怨,不辞辛苦
屈打成招,不打自招
不及,不迭
若无其事,不动声色
不时,不断
非凡,不凡
无妨,不妨
势不两立,不共戴天
一本正经,不苟言笑
不论,不管
毛骨悚然,不寒而栗
从容不迫,不慌不忙
若即若离,不即不离
不可胜数,不计其数
搜索枯肠,不假思索
引经据典,不见经传
不只,不仅
通情达理,不近人情
不由,不禁
形形色色,不拘一格
不可思议,不堪设想
摧枯拉朽,不堪一击
见异思迁,不可动摇
车载斗量,不可多得
数不胜数,不可计数
病入膏肓,不可救药
不亦乐乎,不可开交
指日可待,不可企及
数不胜数,不可胜数
妄自菲薄,不可一世
坐享其成,不劳而获
有利,不利
不动声色,不留余地
不动声色,不露声色
不三不四,不伦不类
不管,不论
步人后尘,不落窠臼
穷山恶水,不毛之地
难免,不免
不约而同,不谋而合
不速之客,不请自来
生吞活剥,不求甚解
百折不挠,不屈不挠
无可置疑,不容置疑
不伦不类,不三不四
屈指可数,不胜枚举
不识抬举,不识好歹
与众不同,不同凡响
一针见血,不痛不痒
漠不关心,不闻不问
游手好闲,不务正业
势均力敌,不相上下
嗤之以鼻,不屑一顾
倒霉,不幸
蓬头垢面,不修边幅
真才实学,不学无术
显而易见,不言而喻
诲人不倦,不厌其烦
不胫而走,不翼而飞
不必,不用
不谋而合,不约而同
孜孜不倦,不知疲倦
手足无措,不知所措
模棱两可,不置可否
屡见不鲜,不足为奇
设防,布防
公告,布告
步伐,步调
独具匠心,步人后尘
局部,部分
揩,擦
猜测,猜想
才华盖世,才华出众
胸无点墨,才疏学浅
佳人,才子
财富,财产
扩充,裁减
判决,裁决
踏,踩
良莠不齐,参差不齐
参与,参加
栉风沐雨,餐风露宿
摧残,残害
半老徐娘,残花败柳
严酷,残酷
剩余,残余
羞愧,惭愧
惨绝人寰,惨不忍睹
仁至义尽,惨绝人寰
惨绝人寰,惨无人道
惊惶失措,仓皇失措
九牛一毛,沧海一粟
惨白,苍白
天穹,苍穹
躲,藏
料理,操持
劳累,操劳
稳扎稳打,操之过急
喧闹,嘈杂
敷衍了事,草草了事
风声鹤唳,草木皆兵
正,侧
正面,侧面
怜悯,恻隐
落井下石,恻隐之心
丈量,测量
检验,测验
战略,策略
屡见不鲜,层出不穷
一马平川,层峦叠嶂
拔,插
拔出,插入
追究,查究
查询,查问
发觉,察觉
万紫千红,姹紫嫣红
好,差
过失,差错
派遣,差遣
搭,拆
撤除,拆除
装配,拆卸
扶持,搀扶
忠言,谗言
兴盛,昌盛
少,长
晚辈,长辈
久而久之,长此以往
出息,长进
持久,长久
长寿,长命
常年,长年
天长日久,长年累月
短跑,长跑
言简意赅,长篇累牍
临时,长期
势如破竹,长驱直入
短命,长寿
久远,长远
归还,偿还
临阵磨枪,常备不懈
经常,常常
罕见,常见
临时,常设
知识,常识
欣然,怅然
迷惘,怅惘
滞,畅
痛快,畅快
各抒己见,畅所欲言
疏通,畅通
滞销,畅销
倡议,倡导
建议,倡议
做工,唱工
誊写,抄写
超凡,超常
出类拔萃,超群绝伦
逾越,超越
晨,朝
危在旦夕,朝不保夕
暮气,朝气
萎靡不振,朝气蓬勃
见异思迁,朝秦暮楚
朝秦暮楚,朝三暮四
念念不忘,朝思暮想
晚霞,朝霞
讪笑,嘲笑
湿润,潮湿
喧嚷,吵嚷
门可罗雀,车水马龙
汗牛充栋,车载斗量
撒谎,扯谎
设防,撤防
撤离,撤退
吊销,撤消
君,臣
重,沉
轻飘飘,沉甸甸
堆积,沉积
喧闹,沉静
漂浮,沉没
沉浸,沉迷
夸夸其谈,沉默寡言
旧,陈
老生常谈,陈词滥调
遗迹,陈迹
朝,晨
称谓,称呼
称呼,称说
称呼,称谓
心满意足,称心如意
称誉,称赞
乘,趁
浑水摸鱼,趁火打劫
顺势,趁势
张口结舌,瞠目结舌
败,成
生长,成长
废品,成品
不计其数,成千上万
成百上千,成千盈百
形单影只,成群结队
幼稚,成熟
故意,成心
心中有数,成竹在胸
启,承
承当,承担
承担,承当
承袭,承继
承上启下,承前启后
供认,承认
固然,诚然
言而无信,诚实守信
虚情假意,诚心诚意
乡,城
乡村,城市
披荆斩棘,乘风破浪
纳凉,乘凉
落井下石,乘人之危
败兴,乘兴
奖,惩
惩办,惩处
惩办,惩罚
小惩大诫,惩前毖后
廓清,澄清
示弱,逞强
享乐,吃苦
费劲,吃力
重蹈覆辙,吃一堑;长一智
五体投地,嗤之以鼻
妍,媸
胡思乱想,痴心妄想
张,弛
缓和,弛缓
举世闻名,驰名中外
早,迟
早退,迟到
愚钝,迟钝
耐久,持久
锲而不舍,持之以恒
稳健,持重
荣,耻
羞耻,耻辱
责骂,叱骂
呵斥,斥责
忠心耿耿,赤胆忠心
光秃秃,赤裸裸
一无所有,赤贫如洗
一丝不挂,赤身露体
手无寸铁,赤手空拳
火热,炽热
不闻不问,充耳不闻
空虚,充实
望风而逃,冲锋陷阵
突破,冲破
一马平川,崇山峻岭
辱,宠
笼统,抽象
恩,仇
仇人,仇敌
仇敌,仇人
忧,愁
愁眉苦脸,愁眉不展
喜笑颜开,愁眉苦脸
眉开眼笑,愁眉锁眼
稀,稠
酬谢,酬报
酬报,酬谢
趾高气扬,踌躇满志
美化,丑化
顾,瞅
香,臭
美名,臭名
臭名昭著,臭名远扬
臭名远扬,臭名昭著
出走,出奔
收兵,出兵
反复无常,出尔反尔
收工,出工
返航,出航
